,product,year,anomaly_score,normalized_anomaly_score,num_edges
146,722840,2020,0.94134945,-0.002777871,1263
147,722840,2017,1.2018933,0.02114048,1238
148,722840,2018,1.3071903,0.0303194,1273
149,722840,2021,1.3627484,0.034866475,1261
150,282520,2019,20.982601,0.5701763,615
151,282520,2022,187.69374,4.9088135,631
152,282520,2020,7.418513,0.15659213,602
153,282520,2017,17.629162,0.7878532,573
154,282520,2018,19.92711,0.632996,567
155,282520,2021,9.909066,0.24760513,624
156,400249,2019,1.1192331,0.013153014,988
157,400249,2022,1.5542532,0.054328587,1042
158,400249,2020,0.7532262,-0.021663586,984
159,400249,2017,1.3252199,0.034296535,971
160,400249,2018,1.516652,0.052567888,990
161,400249,2021,1.0148633,0.0038042516,1048
162,291613,2019,0.973489,0.00039302508,545
163,291613,2022,1.25509,0.031848766,556
164,291613,2020,0.6815884,-0.031085331,538
165,291613,2017,1.5354978,0.061892007,577
166,291613,2018,1.6459332,0.07332793,572
167,291613,2021,1.7912542,0.090526655,613
168,291823,2019,3.1384993,0.16442318,952
169,291823,2022,2.5288742,0.105403565,1014
170,291823,2020,1.3998522,0.027012842,964
171,291823,2017,1.5914638,0.0495239,928
172,291823,2018,1.8159864,0.066075735,927
173,291823,2021,1.4492593,0.032284543,971
174,292146,2019,1.6056613,0.07141284,150
175,292146,2022,2.0937114,0.140059,180
176,292146,2020,1.8385122,0.099567026,169
177,292146,2017,1.4709839,0.05264482,138
178,292146,2018,1.7607383,0.085112154,163
179,292146,2021,2.8994153,0.23463346,168
180,270900,2019,0.86952907,-0.0076873046,1531
181,270900,2022,2.4607615,0.11715339,1466
182,270900,2020,0.46890545,-0.03952831,1415
183,270900,2017,0.5237844,-0.03604287,1643
184,270900,2018,0.98548716,0.0021931757,1554
185,270900,2021,1.1111572,0.011876652,1510
186,271113,2019,0.8773107,-0.005637144,1846
187,271113,2022,3.2045383,0.15493178,1714
188,271113,2020,0.76471305,-0.014354758,1748
189,271113,2017,0.9052029,-0.0021500606,1878
190,271113,2018,1.3548968,0.031008748,1864
191,271113,2021,2.581903,0.120808445,1806
192,271114,2019,0.11936059,-0.016737862,579
193,271114,2022,0.3280208,-0.011762004,585
194,271114,2020,0.09143539,-0.016873546,573
195,271114,2017,0.1159202,-0.018074067,594
196,271114,2018,0.14825466,-0.016702948,610
197,271114,2021,0.2981488,-0.01247927,559
198,271129,2019,3.7770553,0.061134376,1070
199,271129,2022,2.2964852,0.03065771,1074
200,271129,2020,1.3809417,0.008686915,1012
201,271129,2017,0.11930363,-0.019026304,1056
202,271129,2018,1.668571,0.014107385,1065
203,271129,2021,0.7122114,-0.0066951276,1028
204,271210,2019,0.25801432,-0.011360221,2292
205,271210,2022,0.6165831,-0.005661763,2236
206,271210,2020,0.30563027,-0.01044367,2183
207,271210,2017,0.27256098,-0.011410822,2206
208,271210,2018,0.36259416,-0.009823228,2211
209,271210,2021,0.4686039,-0.007896799,2251
210,271320,2019,1.1364396,0.0070796064,1315
211,271320,2022,4.1147766,0.15239036,1291
212,271320,2020,0.70204777,-0.013411658,1328
213,271320,2017,0.9852264,4.942014e-05,1221
214,271320,2018,1.2692482,0.013554546,1271
215,271320,2021,1.7494555,0.037017893,1275
216,270111,2019,0.71718174,-0.013152013,899
217,270111,2022,3.874582,0.14150518,970
218,270111,2020,0.36383113,-0.031486716,842
219,270111,2017,0.5428179,-0.021947905,873
220,270111,2018,0.6713638,-0.015470877,899
221,270111,2021,1.9412835,0.051999804,870
222,270112,2019,1.3239197,0.019698497,762
223,270112,2022,6.294428,0.3052448,866
224,270112,2020,0.71236676,-0.013269357,716
225,270112,2017,1.4727606,0.028156716,740
226,270112,2018,1.7811251,0.044200204,722
227,270112,2021,1.6123021,0.037951734,784
228,282710,2019,1.6138083,0.01642238,1209
229,282710,2022,1.4372437,0.01278845,1249
230,282710,2020,1.408997,0.011476552,1207
231,282710,2017,1.9086512,0.02225978,1214
232,282710,2018,1.3065132,0.007811975,1229
233,282710,2021,5.0445685,0.116450764,1279
234,750400,2019,3.3461795,0.12280887,1003
235,750400,2022,7.6420326,0.24865018,1049
236,750400,2020,1.6904564,0.03166538,984
237,750400,2017,0.8274883,-0.007971854,960
238,750400,2018,2.472368,0.08167851,1015
239,750400,2021,5.1442075,0.18935503,1045
240,294190,2019,0.5586855,-0.0072218645,2715
241,294190,2022,0.22061512,-0.01262119,2706
242,294190,2020,0.3758096,-0.010295193,2681
243,294190,2017,0.26240546,-0.01242717,2764
244,294190,2018,0.40659374,-0.009831486,2723
245,294190,2021,0.3022876,-0.011458557,2749
246,760110,2019,0.8641966,-0.0055974787,1629
247,760110,2022,2.4160364,0.071139246,1642
248,760110,2020,1.1145576,0.0073686563,1525
249,760110,2017,1.2002413,0.012501225,1662
250,760110,2018,0.99780524,0.0012389354,1661
251,760110,2021,1.8667055,0.046058185,1650
252,853400,2019,1.2126416,0.0033656054,6077
253,853400,2022,1.3832583,0.006028981,6125
254,853400,2020,1.2341058,0.0037294496,5998
255,853400,2017,1.505348,0.007879483,5901
256,853400,2018,1.5591319,0.008783791,6000
257,853400,2021,1.9548296,0.01512153,6107
258,250100,2019,1.200603,0.009157552,5240
259,250100,2022,1.5918992,0.025490206,5329
260,250100,2020,1.1065718,0.0049271374,5252
261,250100,2017,0.9347258,-0.0022935476,5124
262,250100,2018,1.2410347,0.011048358,5165
263,250100,2021,1.3126758,0.013598216,5437
264,170199,2019,0.45085678,-0.023862585,4277
265,170199,2022,1.2688398,0.012192397,4246
266,170199,2020,0.6572932,-0.014711328,4237
267,170199,2017,0.9002088,-0.0040168082,4414
268,170199,2018,0.5736349,-0.019907292,4365
269,170199,2021,0.86571944,-0.0056435596,4349
270,100610,2019,0.98763055,0.00023022607,1159
271,100610,2022,2.7303207,0.06346799,1244
272,100610,2020,0.9521317,-0.0011376765,1255
273,100610,2017,0.7162375,-0.010216994,1259
274,100610,2018,1.0001111,0.00024850317,1251
275,100610,2021,3.4047647,0.09323604,1289
276,110100,2019,1.11957,0.00442683,3551
277,110100,2022,2.3933992,0.04810583,3573
278,110100,2020,1.1883221,0.00650845,3526
279,110100,2017,1.4858667,0.01821164,3617
280,110100,2018,1.2609905,0.009194734,3651
281,110100,2021,1.2892846,0.010038883,3633
282,40210,2019,1.5352479,0.018733043,3090
283,40210,2022,3.9751654,0.093277305,2859
284,40210,2020,1.6805799,0.022707198,2988
285,40210,2017,1.0711524,0.0028586388,2952
286,40210,2018,1.097458,0.003790521,3083
287,40210,2021,2.5206382,0.05015837,3032
288,120300,2019,0.43510565,-0.045389052,225
289,120300,2022,1.3902017,0.047909096,218
290,120300,2020,0.9187896,0.005786573,241
291,120300,2017,4.1366944,0.35230795,206
292,120300,2018,1.7635999,0.1526105,230
293,120300,2021,1.0550171,0.027405756,229
294,230250,2019,0.394383,-0.039754275,534
295,230250,2022,2.6092253,0.23270728,561
296,230250,2020,0.5181785,-0.034679282,564
297,230250,2017,0.6951831,0.0017901914,500
298,230250,2018,0.8198473,0.012499883,508
299,230250,2021,0.9791911,0.014509844,591
300,190220,2019,0.05975882,-0.0054756226,2458
301,190220,2022,0.098069884,-0.0048117535,2481
302,190220,2020,0.076519355,-0.005208527,2444
303,190220,2017,0.038500715,-0.0060185487,2309
304,190220,2018,0.052882157,-0.0057137976,2395
305,190220,2021,0.08993538,-0.0049922285,2560
306,200799,2019,1.153129,0.010926215,5210
307,200799,2022,1.8174134,0.050616905,5352
308,200799,2020,1.3431258,0.022797266,5243
309,200799,2017,1.3159385,0.021352084,5086
310,200799,2018,1.3685472,0.023003357,5123
311,200799,2021,1.5537267,0.035528556,5574
312,80450,2019,4.073524,0.08573354,2776
313,80450,2022,2.2662284,0.034084685,2834
314,80450,2020,2.9855335,0.054800436,2678
315,80450,2017,3.9798388,0.089058995,2721
316,80450,2018,3.1388993,0.05932107,2726
317,80450,2021,3.2385454,0.06280094,2945
318,300490,2019,1.4262244,0.012239361,10454
319,300490,2022,2.2011154,0.034240693,10534
320,300490,2020,1.6399591,0.01802706,10817
321,300490,2017,1.2287792,0.006642176,10354
322,300490,2018,1.3765063,0.0108146565,10306
323,300490,2021,1.6720388,0.019229624,11062
